Mm_genes,Hs_genes
Olfr1056,None
Olfr1055,None
Olfr1054,None
Olfr1053,None
Olfr1051,None
Olfr1049,None
Olfr1048,None
Olfr1047,None
Olfr1046,None
Olfr1045,None
Olfr52,None
Olfr1044,OR8U1
Olfr1043,None
Olfr1042,None
Olfr1040,None
Olfr1039,None
Olfr1037,None
Olfr1024,None
Olfr1019,OR5AR1
Olfr1016,None
Olfr1012,None
Olfr1006,None
Olfr154,None
Olfr1002,None
Olfr1000,None
Fads2b,FADS2B
Olfr995,None
Olfr994,None
Olfr993,None
Olfr992,None
Olfr988,None
Olfr987,None
Lrrc55,LRRC55
Ccdc162,CCDC162P
Znhit2,ZNHIT2
Ccdc58,MIX23
Fsip2,FSIP2
Heg1,HEG1
Cerkl,None
Cenpw,CENPW
Pjvk,PJVK
Bex6,None
Pde11a,PDE11A
Ttc30a1,TTC30A
Ttc30b,TTC30B
Wipf1,WIPF1
Carns1,CARNS1
H60b,None
Erich2,None
Sp5,SP5
Klhl41,KLHL41
Scn9a,SCN9A
Scn2a,SCN2A
Fign,FIGN
Zbtb2,None
A930003A15Rik,None
Rprm,RPRM
Igll1,IGLL5
Rc3h2,RC3H2
Olfr362,None
Olfr361,None
Olfr358,None
Olfr355,None
Olfr353,None
Olfr351,None
Olfr3,OR1J1
Olfr341,None
Hoxc4,HOXC4
Krt76,KRT76
Smim41,None
Prcd,PRCD
Fnbp1,FNBP1
Dolk,DOLK
Smim6,None
Gm13547,None
Olfr288,None
Dnlz,DNLZ
Alg10b,ALG10B
Slitrk1,SLITRK1
Commd6,COMMD6
Kbtbd6,None
Fam187a,FAM187A
Malrd1,MALRD1
X4930407I10Rik,None
Aarsd1,AARSD1
Urad,URAD
Cyp3a41b,None
Krtap4.6,None
Krtap1.4,None
Pms2,PMS2
Krt26,KRT26
Defb30,DEFB135
Defb43,DEFB131A
Defb47,None
Defb48,None
Hoxb2,HOXB2
Nrbp2,NRBP2
Nynrin,NYNRIN
Gal3st4,None
Zfp652,None
Smok3c,None
Smok3a,None
Zc3h3,ZC3H3
Ly6a,None
Cyp11b1,None
Slurp2,None
Tmem92,TMEM92
Selenot,SELENOT
Selenos,SELENOS
Selenom,SELENOM
Selenoi,SELENOI
Txnrd2,TXNRD2
Msrb1,MSRB1
Gpx4,GPX4
Dio3,DIO3
Hus1b,HUS1B
Sox4,SOX4
Ywhaq,YWHAQ
Cep295nl,CEP295NL
Wfdc3,WFDC3
Acsf2,ACSF2
Oxct2a,None
Selenoh,SELENOH
Oxct2b,None
Mog,MOG
Ass1,ASS1
Rab11b,RAB11B
Olfr585,None
Olfr828,None
Olfr483,None
Gm5071,None
Fam170b,FAM170B
Actl10,ACTL10
Gm11555,None
Krtap1.3,None
Ankrd63,ANKRD63
Capns2,CAPNS2
Psme2b,None
X4931440F15Rik,None
Erich3,None
Lenep,LENEP
Rnf148,RNF148
Chml,CHML
Tmem203,TMEM203
Nrarp,NRARP
Fthl17d,None
Fthl17b,None
Btbd35f4,None
Btbd35f3,None
Klhdc7a,KLHDC7A
Fam43b,None
Hmga1b,None
Krtap17.1,None
Krtap16.1,None
Krtap9.5,None
Gm11565,None
X2300003K06Rik,None
Gm11564,None
Gm11554,None
Gm11569,None
Gm11596,None
Krtap4.9,None
Tas2r122,None
Foxd1,FOXD1
AI593442,None
Fam47c,None
F8a,None
Tex13c1,TEX13C
Btbd35f14,None
H2al1n,None
Sf3b5,SF3B5
Smim1,SMIM1
Ifna16,None
Mos,MOS
Olfr141,None
Sarnp,SARNP
Ctdsp2,CTDSP2
AU041133,None
Smim24,SMIM24
Dohh,DOHH
Ccdc105,CCDC105
Ppil6,PPIL6
Raet1a,None
Abracl,ABRACL
Plekhn1,PLEKHN1
Perm1,PERM1
Ankrd65,None
Cfap74,CFAP74
Gm13090,None
Zfp984,None
Zfp982,None
LOC115489950,None
Gm13212,None
Zfp990,None
Aadacl4fm5,None
Aadacl4fm4,None
Aadacl4fm2,None
Aadacl3,AADACL3
Gm13128,None
Pramef17,None
Pramef25,None
Pramef6,None
Gm13088,None
Ddi2,DDI2
Emc1,EMC1
Gm13030,None
Cela3a,None
Aunip,AUNIP
Nkain1,NKAIN1
B020031M17Rik,None
Zfp995,None
Dcdc2b,None
Fam229a,FAM229A
Bnip3,BNIP3
X1110065P20Rik,None
Ndufaf8,NDUFAF8
Gm12887,None
Gm12886,None
Tmco2,TMCO2
Ube2d3,UBE2D3
E430018J23Rik,None
AU022252,None
Ccdc24,None
Hs3st4,None
X1700042G07Rik,None
Skint5,None
Skint8,None
E030025P04Rik,None
Gm4070,None
X1810010H24Rik,None
Gm5901,None
Fyb2,FYB2
Trim30c,None
Smarcd2,SMARCD2
Hbb.bh2,None
Ccdc47,CCDC47
Olfr613,None
Gm12789,None
LOC115489970,None
March10,None
Lrrc37a,None
Gm12695,C1orf87
Gm11627,None
G6pc,G6PC1
Aoc2,AOC2
Psme3,PSME3
Cntd1,CNTD1
Vps25,VPS25
Crnn,None
Sprr2a1,None
Gm11595,None
Fam174b,FAM174B
Chd2,CHD2
Mup20,None
Mup19,None
Mup18,None
Mup16,None
Casc3,CASC3
Mup10,None
Tm2d3,TM2D3
Mup1,None
Mup9,None
Mup8,None
Mup2,None
Mup6,None
Gm6821,None
Cisd3,CISD3
Mrgpra3,None
Tomm5,TOMM5
Tmem8b,TMEM8B
Msmp,MSMP
Fam205a1,None
Gm20878,None
Scgb1b30,None
Scgb1b24,None
Scgb2b3,None
Scgb1b29,None
Scgb1b7,None
Haus5,HAUS5
Slfn1,None
U2af1l4,U2AF1L4
Zfp566,None
Evi2a,EVI2A
Rad54b,RAD54B
X9530053A07Rik,None
Zfp59,None
Gm5150,None
Gm9733,None
Rbis,RBIS
BC024978,None
Cyp2t4,None
Dph1,DPH1
Gm5155,None
Dact3,DACT3
Ceacam15,None
Zfp541,None
Sult2a5,None
Bsph2,None
Vmn1r58,None
Gp6,GP6
Eif5a,EIF5A
Leng1,LENG1
Cacng6,CACNG6
Prkcg,PRKCG
Nlrp12,NLRP12
H2aw,H2AW
Igtp,None
Zfp931,None
Gm14326,None
Gm14322,None
Zfp970,None
Gm14410,None
Gm2004,None
Gm14295,None
Gm14432,None
Zfp973,None
Gm14308,None
Gm14434,None
Gm2026,None
Gm6710,None
Gm14288,None
X2210418O10Rik,None
Zfp965,None
Gm4724,None
Zfp968,None
Gm14430,None
Gm14440,None
Gm14391,None
Gm14393,None
LOC105244402,None
Fam186b,None
Mon1b,MON1B
Dpm1,DPM1
Ifi47,None
Tgtp2,None
Tgtp1,None
Ube2v1,UBE2V1
Gm12169,None
Cdc20b,None
Pdf,None
CN725425,None
Pate13,None
X1700025C18Rik,None
Cpt1b,CPT1B
Syce3,SYCE3
Wfdc11,None
Taf9.1,None
R3hdml,R3HDML
Arhgap8,PRR5-ARHGAP8
Atp6ap1l,None
Hsbp1l1,HSBP1L1
Ces1b,None
Wdr92,WDR92
Sec61g,SEC61G
Zfp429,None
Zfp456,None
Bpifa6,None
Samd1,SAMD1
Gm14147,None
Gm14151,None
Gm14124,None
Gm14139,None
Serpina3j,None
Serpina3i,None
Ly6c1,None
Insl3,INSL3
Slc45a4,SLC45A4
Col22a1,None
Gm5662,None
BB287469,None
Mef2b,MEF2B
Gm8300,None
Alkbh1,ALKBH1
Prnp,PRNP
D130040H23Rik,None
Apela,APELA
Fastkd5,FASTKD5
Vinac1,None
Slc8a3,SLC8A3
Kcnip3,KCNIP3
Cyp4v3,None
Adam34,None
Slc28a2b,None
Gm3086,None
Jrkl,JRKL
Ccdc82,CCDC82
Gm3404,None
Prl2c2,None
X4930449I24Rik,None
Tgm7,None
Prps1l3,None
C7,None
Srp54c,None
Pms2.1,None
Capn3,CAPN3
Kdelr2,KDELR2
Fam90a1a,None
Defa43,None
Defa42,None
Defa41,None
AY761185,None
A130010J15Rik,None
Smok3b,None
Fam155a,FAM155A
Trim43b,None
Tlr5,TLR5
Sap25,SAP25
Cd209g,None
Zan,ZAN
Fam228a,FAM228A
Mptx2,None
Mphosph8,MPHOSPH8
Gzmc,None
LOC100041057,None
Psme2,PSME2
Zfp664,None
LOC664787,None
Ccr5,CCR5
Ccdc13,CCDC13
Xirp1,XIRP1
Gm5622,None
Calhm1,CALHM1
Trim71,TRIM71
Tmppe,None
Gm15217,None
Gm6614,None
Gm5930,None
X1700049E17Rik1,None
Hoxd3,HOXD3
Tmem233,TMEM233
X2310009B15Rik,None
Clec7a,CLEC7A
Klrb1,None
Tex52,TEX52
Rab9,None
Trappc2,TRAPPC2
X4932414N04Rik,None
Lemd1,LEMD1
Naa80,NAA80
Ifit1bl1,None
Lipo1,None
C1s2,None
Lipo4,None
Magea5,None
Magea8,None
Ackr4,ACKR4
Gbp4,GBP4
Gm3558,None
Gm3476,None
Gm8279,None
Gm8271,None
Gm3173,None
Luzp4,None
X2610042L04Rik,None
Gm15114,None
Gm3696,None
Gm5795,None
Gm2897,None
Cntf,CNTF
Atg4a,ATG4A
X4930402F06Rik,None
Gm3286,None
Gm3259,None
Arpc4,ARPC4
Mthfsl,None
Tceal7,TCEAL7
Mroh2a,MROH2A
Gm15023,None
Neu2,NEU2
Rpl36a,RPL36A
Kcnj13,KCNJ13
Alpi,None
St6galnac4,ST6GALNAC4
B3gnt7,B3GNT7
Cldn34c1,None
Tmprss11g,TMPRSS11GP
Gm7609,None
X4933403O08Rik,None
Col4a3,COL4A3
Prdm12,PRDM12
Pigb,PIGB
Utp14b,UTP14C
Mymx,None
X1700011M02Rik,None
Rab7,None
Znrd2,ZNRD2
Gm9112,None
Pin4,PIN4
Nhsl2,NHSL2
Phyhd1,PHYHD1
Med12,MED12
H2.T10,None
Gm11127,None
Nat8f5,None
Nat8f6,None
Gm13420,None
Cfap77,None
H2.Q1,None
Apoo,APOO
Zfx,ZFX
X4932429P05Rik,None
Gm14743,None
Gm5938,None
Gm14744,None
Tmsb10,TMSB10
Cldn34d,None
Gm5936,None
Ctag2l2,None
Gm5640,None
Ctag2l1,None
Obp2b,None
H2.DMb1,None
Mpp4,MPP4
Kifc1,KIFC1
Aox2,AOX2P
Haus3,HAUS3
March2,None
Colca2,None
Hoxa3,HOXA3
Maea,MAEA
Pglyrp2,PGLYRP2
Spin2.ps2,None
Gm1140,None
Gm6760,None
Tmem217,None
Gm7073,None
Gm364,None
Tmem182,TMEM182
C1qtnf5,C1QTNF5
X4933416I08Rik,None
Cstdc6,None
Cstdc4,None
Clec2l,CLEC2L
X9230102O04Rik,None
Zbtb9,ZBTB9
Fsip2l,None
Stard6,STARD6
Ankrd39,ANKRD39
Seh1l,SEH1L
Cypt15,None
Muc4,MUC4
Tm4sf19,None
Rhox2h,None
Rhox4g,None
Rhox2g,None
Rhox4f,None
Rhox4d,None
Rhox4c,None
Rhox3c,None
Rhox2c,None
Rhox2b,None
Rhox4a,None
Rpl39,RPL39
Gm1110,None
Fam71f2,None
Prrt4,PRRT4
Gm5168,None
Rab26,RAB26
Eloc,ELOC
Tmem243,None
X1700015F17Rik,None
Fdx2,FDX2
Vwde,VWDE
Zglp1,ZGLP1
Ulbp1,None
Gm14862,None
Vmn2r93,None
Gm6592,None
Fpr3,None
Ssxb3,None
Ssxb6,None
Ssxb8,None
Gm14459,None
Ssxb1,None
Tcte3,None
Gm3448,None
Smok4a,None
Ttll2,TTLL2
Bfar.1,None
LOC100862220,None
Fam205a2,FAM205A
LOC102638047,None
Tmlhe,TMLHE
Spag11a,None
Xlr4a,None
Klra4,None
Klra1,None
Rps19.ps3,None
Eef1akmt3,None
H3f4,None
Brms1,BRMS1
Spaca6,SPACA6
H2bu1.ps,None
B230307C23Rik,None
Gm6121,None
Gm12633,None
Gm12174,None
Gm15760,None
Olfr1273.ps,None
X4930455H04Rik,None
Rhox3g,None
Gm2003,None
X1700071K01Rik,None
Olfr118,None
AU015836,None
Gm6987,None
H3c15,None
Defa.ps13,None
Gm4297,None
Cyp2j12,None
Olfr1120,None
Gm15266,None
Gm13215,None
Gm15455,None
Rps6.ps4,None
Ssxb7,None
Gm13286,None
Slc48a1,SLC48A1
Gm14594,None
Olfr213,None
Pira1,None
Gm11677,None
Fzd10,FZD10
Pira6,None
Olfr129,None
X2210409E12Rik,None
Gm12216,None
X5730416F02Rik,None
Olfr1180,None
Rpl17.ps10,None
Olfr607,None
LOC108168446,None
Dnajb3,None
H3f3c,None
Rpl17.ps8,None
Pramel,None
Slfn14,SLFN14
Defa27,None
Gm715,None
Nap1l2,NAP1L2
Gm7429,None
Gm16523,None
Vmn1r221,None
Btc,BTC
H2afb2,None
Gm5639,None
Gm2012,None
Gm14725,None
X4930448K20Rik,None
Gm7134,None
Olfr1186,None
Cyp2j8,None
Gm15056,None
Olfr1274,None
Fam220a,FAM220A
Gm12618,None
Amy2b,None
Gm15854,None
Cyp4a29,None
Gm5073,None
X4930595D18Rik,None
Gm13498,None
Ctsf,CTSF
AA414768,None
Gm14666,None
Olfr360,None
Gm12873,None
H2afb3,None
Gm2030,None
Rasl2.9,None
Gm38402,None
Rnf138rt1,None
Gm8624,None
Olfr1118,None
Ube2d.ps,None
Scgb2b23.ps,None
Olfr122,None
Gm11478,None
LOC101056144,None
Gm5934,None
Esrp2,ESRP2
Pom121l12,None
Vmn1r207,None
Sycn,SYCN
X4933405O20Rik,None
Gm12504,None
Olfr1269,None
Cyp4a30b,None
Gm15142,None
AA413626,None
Gm11213,None
Ubl5,UBL5
Tmem240,TMEM240
Ccdc85c,CCDC85C
a.1,None
Gm281,None
Vmn1r.ps103,None
Gm5724,None
Bbip1,None
Crocc2,None
Gm11549,None
Slc2a4rg.ps,None
Abhd11os,None
Ascl4,None
A730046J19Rik,None
Sbk3,SBK3
Gm13539,None
Gm11634,None
Gm16976,None
Dpy19l2,DPY19L2
Rtl9,RTL9
Gm4969,None
Tmem238l,None
X4930469K13Rik,None
Lin52,LIN52
Zfp703,None
Armh2,None
Rtl1,RTL1
Tmem61,None
Syna,None
AW822252,None
Rad51ap2,None
Wipf3,WIPF3
Gm4846,None
Ppp4r3c.ps,None
Ccpg1os,None
Ubap1l,None
Gm4887,None
X4930558K02Rik,None
Nbdy,None
E130218I03Rik,None
Olfr1096.ps1,None
Gm6569,None
Gm11978,None
X4930529C04Rik,None
Lrrc3c,None
Cd101,CD101
Susd5,None
Btbd18,BTBD18
X4931428L18Rik,None
Gm8978,None
X3110082J24Rik,None
Lce6a,None
Gm12248,None
X4933416E14Rik,None
Gm13889,None
Lbhd2,None
Plcxd2,PLCXD2
Itih5l.ps,None
Cldn34.ps,None
L1td1,L1TD1
Skint6,None
Tmem274,None
Mroh3,None
Gm4750,None
Kif28,None
Alkal1,ALKAL1
Lamtor5,LAMTOR5
X4930544D05Rik,None
Lipo2,None
Tmem170b,TMEM170B
Gm15517,None
Frg2f1,None
Kantr,None
Gdf1,GDF1
Gm5475,None
Ccdc201,None
Zfp111,None
X1500009L16Rik,None
Tmem250.ps,None
Pet100,PET100
Gm5766,None
Mia,MIA
Fcor,None
Tnfsf13,TNFSF13
Agxt2,AGXT2
Bcl2l2.1,None
Mnd1.ps,None
Rab42,RAB42
Nat8f7,None
Galnt2,GALNT2
Cbx6,CBX6
X4930552N02Rik,None
Cd300ld5,None
Krtap4.8,None
Klra8,None
Clec2f,CLEC2A
Tgfbr3l,None
Zfp966,None
Ier5l,IER5L
Tmsb15b1,None
Skint1,None
Slc5a3,SLC5A3
Rdh1,None
X1700028K03Rik,None
A930011G23Rik,None
Rbm12,RBM12
Shkbp1,SHKBP1
Npcd,None
A530032D15Rik,None
Timm10b,TIMM10B
Zfp882,None
Olfr1506.1,None
Umad1,None
Rps6kc1,RPS6KC1
Mup13,None
Tmem102,TMEM102
Olfr1199,None
Mfsd14a,MFSD14A
Uckl1,UCKL1
Bcl2a1b,None
Pira2,None
Ugt1a5,None
Pakap.1,None
Rnf224,RNF224
Ugt1a1,UGT1A1
Fbxo24,FBXO24
G6pd2,None
Tmsb15b2,None
Ier3ip1,IER3IP1
Gm15446,None
Gimap1,GIMAP1
Galnt4,GALNT4
Pakap.2,None
Olfr1062,None
Nwd2,NWD2
X1110002E22Rik,None
Cdk5r2,CDK5R2
Lime1,LIME1
Rnf8,RNF8
Srpx,SRPX
Gm14393.1,None
Olfr1182,None
Alms1.ps2,None
Ttbk2,TTBK2
Cmc4,CMC4
Shprh,SHPRH
Nhlrc4,NHLRC4
Usp49,USP49
Abhd12b,None
Kcne1l,None
Ugt1a7c,None
Pou3f1,POU3F1
Olfr287,None
Cypt2,None
Uba52.1,None
Gm614,CXorf65
Ugt1a6b,None
Acad11,ACAD11
BC035044,None
Ugt1a10,None
Ear10,None
Ugt1a2,UGT1A3
Fbxw10,FBXW10
Ugt1a9,UGT1A10
Cd200r2,None
X4930503B20Rik.1,None
Tepp,TEPP
Itga10,None
Tmem189,None
Trim34b,None
Olfr643,None
Pcp4,PCP4
Gm11559,None
Cfb,CFB
Car15,None
Bloc1s1,BLOC1S1
Churc1,CHURC1
Eif4ebp3,EIF4EBP3
Mettl23,METTL23
Prr22,None
Tarbp1,None
Lrrc10b,None
Sult3a2,None
Gm7714,None
Vmn2r99,None
Adh6.ps1,None
X2310050C09Rik,None
Vmn2r104,None
Dthd1,None
Cfap97d2,CFAP97D2
Vmn2r46,None
Vmn1r5,None
Teddm3,None
Vmn2r79,None
Gm3043,None
X4933411K16Rik,None
Vmn2r58,None
X4930523C07Rik,None
Vmn1r174,None
Vmn2r94,None
Vmn2r75,None
Gm17455,None
X1700049E17Rik1.1,None
Iltifb,None
X1700091H14Rik,None
Prr23a3,PRR23C
Gm4553,None
Gm2888,None
Sfta2,SFTA2
Gm3424,None
Krtap27.1,None
Gypc,GYPC
Aadacl2fm2,None
Gm9602,None
Cdr1,None
Prlh,None
Snrpe,SNRPE
Vmn2r109,None
Vmn2r6,None
Gm9573,None
Vmn2r60,None
A930033H14Rik,None
Tex9,TEX9
LOC108168187,None
Olfr180,OR5K4
Olfr456,None
Gm8126,None
Zfp712,None
Vmn2r120,None
Prss47,None
Zfp493,None
Vmn2r45,None
Gm765,None
Olfr111,None
Atp6v1fnb,None
Vmn2r12,None
Gm3667,None
Trim43a,None
Apold1,None
Cyp4f40,None
Pate11,None
Gm8127,None
Zscan4d,None
Vmn1r167,None
Rps27,RPS27
Pate7,None
LOC102642386,None
Esp8,None
Vmn2r63,None
Vmn2r56,None
Gm3127,None
Vmn2r74,None
Ccdc188,None
Klhl33,None
Vmn2r70,None
Samd15,SAMD15
Gm4450,None
Olfr1344,None
X1700092M07Rik,None
Myl6,MYL6
Heatr4,None
Gm4340,None
Rps13,RPS13
Vmn2r40,None
Olfr733,None
Hspa1b,HSPA1B
D6Ertd527e,None
Vmn2r41,None
Olfr110,None
Gm44501,None
Pabpc4l,None
Synj2bp,SYNJ2BP
F830016B08Rik,None
Ccdc71l,None
Vmn2r77,None
Olfr181,None
Lrrc32,LRRC32
Vmn2r8,None
Vmn2r116,None
Vmn2r61,None
Tcerg1l,TCERG1L
Vmn2r69,None
Vmn1r34,None
Vmn1r1,None
Fam71a,None
Gm3115,None
Gm17660,None
Krtap20.2,None
Glyatl3,GLYATL3
Vmn2r55,None
Gm1979,None
Siglec15,None
Vmn2r14,None
Myocos,MYOCOS
Vmn2r115,None
Gm21292,None
Prr23a1,None
Kcnmb3,None
Gm4302,None
Gm2832,None
Ccdc152,None
Iqcf6,None
Gm17124,None
Gm17175,None
Phf11c,None
Gm3182,None
Vmn1r224,None
Serpine3,None
Pate10,None
S100a7l2,None
Gm5141,None
Gm3278,None
Gm7271,None
Vmn2r71,None
Vmn2r91,None
Krtap11.1,None
Pate1,None
Vmn2r76,None
Vgll3,VGLL3
Pate8,None
Speer4e,None
Vmn2r110,None
Vmn2r19,None
Smim13,SMIM13
Gm8439,None
Speer6.ps1,None
Spata31d1b,None
Gm5415,None
Eid1,EID1
Col6a5,COL6A5
Vmn2r92,None
Speer5.ps1,None
Vmn2r15,None
Aadacl2,None
Vmn2r83,None
Vmn1r18,None
Gcnt4,GCNT4
Rd3l,None
H4c14,None
Vmn2r117,None
Gm5916,None
Ak9,None
Vmn1r115,None
Vmn2r11,None
Otogl,OTOGL
Vmn2r82,None
Catspere2,None
Gm5799,None
Triml2,None
Vmn2r97,None
Gm44,None
Vmn2r118,None
Vmn2r87,None
Lamtor3,LAMTOR3
Skor2,SKOR2
Vmn2r126,None
Cldn20,None
Olfr102,None
Tma7,TMA7
Vmn1r238,None
Vmn1r9,None
Gm14569,None
Gm8232,None
Vmn2r3,None
LOC108168685,None
Cyp4f17,None
Olfr93,None
Tmem217.1,None
H60c,None
Vmn2r23,None
Vmn2r9,None
Lsm5,LSM5
Vmn2r95,None
Vmn2r13,None
Akain1,AKAIN1
Vmn1r113,None
C2cd4d,C2CD4D
Phf11b,None
Apol11a,None
Vmn2r36,None
Vmn1r57,None
Vmn2r106,None
Vmn1r69,None
Vmn2r105,None
Vmn2r96,None
Klhdc7b,None
Gm17359,None
X4930433I11Rik,None
Apol11b,None
LOC108168186,None
H2.Q2,None
Sec14l5,None
Gimd1,GIMD1
Siah3,None
Gm8220,None
Gm8094,None
Vmn1r29,None
Gpr62,GPR62
Yy2,YY2
Tspy.ps,None
Gm3636,None
Gm3095,None
Zfp964,None
Vmn2r103,None
Gm21293,None
Sco2,SCO2
Vmn2r18,None
Cox16,COX16
Vmn2r108,None
Inafm1,None
Ces2h,None
Gm8050,None
Speer4f2,None
Vmn2r100,None
Cldn34a,None
Cyp2a22,None
Olfr732,None
Vmn1r56,None
Vmn2r17,None
Gm6337,None
Vmn2r80,None
Ube2d2a,None
Gm17019,None
Tnnc1,TNNC1
Gm6460,None
Gm8267,None
Vmn1r185,None
Vmn2r62,None
Vmn2r52,None
Gon7,GON7
Gm3646,None
Vmn2r114,None
Olfr421.ps1,None
C2cd4b,None
Vmn2r78,None
Tmem207,TMEM207
Olfr457,None
Gm10352,None
BC049352,None
Cyp2c69,None
Myh15,None
Gm4027,None
Gbp11,None
Vmn2r59,None
Peg10,PEG10
Gm2244,None
Esp6,None
Vmn2r85,None
Vmn2r4,None
Kif4.ps,None
Bend4,BEND4
Dynlt1a,None
Olfr101,None
Vmn2r16,None
Kcnb2,KCNB2
Zfp804b,None
Gm9376,None
Vmn2r113,None
Fancf,FANCF
Vmn2r90,None
AA543401,None
Gm8005,None
Gm17026,None
Vmn2r86,None
Rergl,None
Gm46479,None
LOC108168684,None
Gm3696.1,None
X2810047C21Rik1,None
Dnaaf4,DNAAF4
A930009A15Rik,None
Slc22a13b,None
Gm19345,None
Gm2381,None
Gm7030,None
Esp34,None
Zfp963,None
Olfr113,None
Vmn1r258,None
Cdk3,CDK3
Prps1l1,None
Esp36,None
Zfp976.1,None
Esp31,None
Smim40,None
Olfr115,None
Zfp141,None
Gpank1,GPANK1
V1rd19,None
Vmn1r180,None
Gm20482,None
Art2a,None
Fam71e2,None
Actl9,ACTL9
Nlrp1c.ps,None
Med20,MED20
Serpinb10,SERPINB10
Vmn1r62,None
Ly6g6c,LY6G6C
Scnm1,SCNM1
Btnl6,None
Khdc3,KHDC3L
Vmn1r23,None
Lrch4,LRCH4
Smim17,None
Higd1c,HIGD1C
Cyp2c53.ps,None
Ly6l,LY6L
Lim2,LIM2
Eif4e3,EIF4E3
Pou5f2,POU5F2
Rpl41,None
Vmn1r7,None
Vmn1r39,None
H3c14,None
Methig1,None
Ppp2r3d,None
Olfr1303,None
Gal3st2b,None
Asmt,ASMT
Vmn2r21,None
Olfr723,None
Gm2506,None
Gm7970,None
Olfr462,None
Gm20865,None
Vmn1r151,None
Lrit3,LRIT3
Olfr802,None
Gsdmcl2,None
Gm20809,None
Vmn1r253,None
Olfr1348,None
Olfr239,None
Vmn1r127,None
LOC108168511,None
Olfr893,None
Gm20910,None
Tomm20,TOMM20
Zfp853,None
Gm21677,None
Olfr463,None
Gm5935,None
Gm20918,None
Hmgcs1,HMGCS1
Olfr971,None
Evi2b,EVI2B
Vmn1r131,None
Olfr46,None
Gm20823,None
Gm16867,None
Esp3,None
Gm11756,None
Gm8165,None
Mrgpra2a,None
Gm2237,None
Olfr493,None
Gm10406,None
Vmn1r120,None
Gm21704,None
Rnasek,RNASEK
Gm20736,None
Vmn1r122,None
Gm5128,None
Vmn1r119,None
Vmn1r94,None
Gm10024,None
S100a2,None
Gm3685,None
Esp18,None
Ldlrad2,None
Gm21118,None
Scgb2b7,None
LOC100503923,None
Olfr638,None
Gm21541,None
Fam205a2.1,None
Gm4767,None
Olfr8,None
Gm20826,None
Gm1604b,None
Tdpoz1,None
Vmn1r114,None
Gm21885,None
Vmn2r44,None
Fam177a2,None
Gm8922,None
Gm10302,None
X9330182O14Rik,None
X5430401F13Rik,None
Gm2837,None
Gm11237,None
Olfr612,None
Gm3233,None
LOC100041504,None
Gm3264,None
Olfr1431,None
Olfr1512,None
Gm21312,None
Vmn2r20,None
Gm10142,None
Vmn1r252,None
Gm7233,None
Slc6a16,None
Sult2a7,None
Gm7995,None
Tdpoz5,None
LOC620551,None
Olfr937,None
Gm1553,None
Vmn1r170,None
Olfr452,None
LOC108169097,None
Magea3,None
Olfr474,None
Olfr237,None
Gm8926,None
Vmn1r130,None
Gm20794,None
Vmn1r124,None
AF067063,None
Hist1h2ao,H2AC6
Olfr969,None
Olfr340,None
Olfr951,None
Gm13290,None
Btbd35f17,None
Cfap73,CFAP73
Vmn1r112,None
Olfr743,None
Gm20868,None
Olfr819,None
LOC108168681,None
Scgb2b20,None
Btbd35f28,None
Rfpl4b,None
Chchd2.ps,None
Gm20793,None
Gm10045,None
Gm9125,None
LOC665290,None
H2bc13,None
Olfr784,None
Olfr150,None
Defa33,None
Gm3373,None
Gm15097,None
Vmn1r202,None
Olfr904,None
LOC108168683,None
Vmn1r123,None
Btbd35f29,None
Vmn2r124,None
Olfr205,None
Olfr478,None
Smbd1,None
Zfp955a,None
Sgo2b,None
X1700015G11Rik,None
X9430069I07Rik,None
Olfr972,None
LOC105245675,None
Olfr883,None
Olfr339,None
Zfp965.1,None
Purb,PURB
LOC108168669,None
Olfr393,None
Olfr700,None
Olfr792,None
Smim18,None
Gm5294,None
Gm21693,None
LOC102636558,None
Olfr635,None
Gm21451,None
Olfr671,None
Olfr850,None
Olfr191,None
Vmn1r149,None
Vmn1r101,None
Vmn1r50,None
Btbd35f11,None
Cyp2d34,None
A430089I19Rik,None
Gm20931,None
Gm20738,None
LOC108169010,None
Gm3187,None
Ms4a18,None
Vmn1r41,None
Olfr898,None
Vmn1r118,None
Gm3629,None
Samt1d,None
Fsbp,FSBP
Btbd35f20,None
Gm5926,None
Vmn1r169,None
Vmn2r50,None
Olfr491,None
A630076J17Rik,None
LOC108168524,None
Gm13271,None
Gm3055,None
Gm4836,None
Tmem121b,TMEM121B
Gm10310,None
Vmn1r204,None
LOC108168524.1,None
Gm13287,None
Gm7102,None
Gal3st2,GAL3ST2
Rbmy,None
LOC108168579,None
Gm2023,None
Defa36,None
Olfr441,None
Vmn2r25,None
Olfr1354,None
Olfr857,None
Vmn1r121,None
Gm6902,None
Ccl21a,CCL21
Defa25,None
X1600014C23Rik,None
Olfr738,None
Gm21953,None
Gm14596,None
Vmn1r158,None
Olfr916,None
Gm10338,None
Gm14596.1,None
Gm5108,None
Olfr1462,None
LOC100862245,None
Rnaset2b,RNASET2
Csta3,None
Olfr799,None
Vmn1r95,None
Ssty2,None
LOC100503733,None
Olfr954,None
Olfr1307,None
Olfr1453,None
Gm10670,None
Olfr346,None
Gm2759,None
Hist1h2ap,None
Olfr143,None
Mup12,None
BC147527,None
Gm9780,None
Samt1,None
Olfr311,None
Cyp2d10,None
X1810009J06Rik,None
Olfr907,None
LOC105242449,None
Gm20777,None
Cphx3,None
Defa32,None
Olfr53,None
